chr	start	end	tpm	pct	strand
chr9	107542223	107542224	5.03003787226332	0.00103626943005181	+
chr10	127063604	127063605	5.98296291415931	0.027979274611399	+
chr8	35376659	35376660	5.98296291415931	0.027979274611399	+
chr19	5388436	5388437	6.96126550038622	0.0452849740932642	-
chr7	140036368	140036369	7.66335078193387	0.0533678756476684	-
chrX	152233237	152233238	8.91471329974119	0.0627979274611399	+
chr17	35879939	35879940	8.91471329974119	0.0627979274611399	+
chr19	8825313	8825314	9.82449538942872	0.0667357512953368	+
chr18	4199250	4199251	10.9047380976325	0.0726424870466321	-
chr15	77781508	77781509	11.9031409031545	0.0853886010362694	-
chr2	32396265	32396266	12.0154927486886	0.0870466321243523	+
chr2	103073474	103073475	12.7479984574585	0.0963730569948187	-
chr11	115187354	115187355	12.9442284145455	0.0989637305699482	-
chrX	73966351	73966352	13.5312462354472	0.106321243523316	-
chr8	13287441	13287442	13.9047950023159	0.109222797927461	-
chr6	129665650	129665651	16.5202472970385	0.133886010362694	-
chr18	82338357	82338358	17.1361021234167	0.140310880829016	+
chr8	110618598	110618599	17.381981450957	0.142176165803109	+
chr2	13574273	13574274	22.2944802739622	0.178652849740933	+
chr19	8824448	8824449	24.1193305687475	0.192953367875648	+
chr13	67061171	67061172	24.6657340329757	0.196476683937824	-
chr19	8798556	8798557	28.6600025136976	0.223834196891192	-
chr3	138489377	138489378	30.5987129141365	0.234818652849741	-
chr11	95842159	95842160	30.6965354795491	0.235854922279793	-
chrX	166440707	166440708	31.4905966304743	0.242279792746114	-
chr11	109650513	109650542	37.7060467988235	0.288290155440415	+
chr17	40934573	40934574	39.402001612665	0.299067357512953	-
chr19	5964189	5964190	40.0746079069072	0.304663212435233	-
chrX	134756593	134756602	41.609433551704	0.31440414507772	+
chr7	28695260	28695261	41.9128783394593	0.316683937823834	-
chr12	25189564	25189578	42.7769855027759	0.322279792746114	-
chr3	69006152	69006153	46.2540052588297	0.343626943005181	+
