name	pass	n.reads	frac.secondary	frac.mapq0	frac.mapq1	frac.mapqh	qwidth	isize	m.score
rescue_2872	TRUE	19	0	0	0	1	141.316	-122.158	-0.009
rescue_2873	FALSE	32	1	0	0	1	143.75	594.375	-0.047
rescue_2873	TRUE	234	0.278	0	0.38	0.62	101.718	180.88	-0.025
rescue_2874	FALSE	13	1	0	0	1	137.692	-223.846	-0.053
rescue_2874	TRUE	311	0.019	0	0.019	0.981	142.087	-15.894	-0.003
rescue_2875	TRUE	120	0	0	0	1	142.583	-13.675	-0.002
rescue_2876	FALSE	4	1	0	0	1	125.5	-125.5	-0.04
rescue_2876	TRUE	55	0.073	0	0.182	0.818	135.8	-36.655	-0.005
rescue_2877	TRUE	140	0	0	0	1	138.229	20.921	-0.004
rescue_2878	TRUE	55	0	0	0	1	146.273	-43.891	-0.003
rescue_2879	TRUE	670	0.006	0	0.006	0.994	127.782	-37.884	-0.003
rescue_2880	FALSE	15	1	0	0	1	115.467	-112.333	-0.069
rescue_2880	TRUE	143	0.07	0	0.126	0.874	136.594	11.161	-0.005
rescue_2881	FALSE	17	1	0	0	1	119.529	-169.882	-0.072
rescue_2881	TRUE	186	0.054	0	0.097	0.903	134.183	-35.07	-0.005
rescue_2882	TRUE	53	0	0	0	1	146.755	-96.321	-0.001
rescue_2883	TRUE	42	0	0	0	1	137.786	5	-0.001
rescue_2884	TRUE	22	0.455	0	0.455	0.545	95.682	38.455	0
rescue_2885	TRUE	40	0	0	0	1	134.95	-46.675	-0.002
rescue_3810	TRUE	154	0.091	0	0.091	0.909	124.487	82.922	-0.016
rescue_3811	FALSE	7	1	0	0	1	115.857	-157.857	-0.08
rescue_3811	TRUE	194	0.052	0	0.082	0.918	137.026	-62.918	-0.004
