name	pass	n.reads	frac.secondary	frac.mapq0	frac.mapq1	frac.mapqh	qwidth	isize	m.score
rescue_2872	FALSE	171	0.988	0	0.035	0.965	135.883	-69.053	-0.407
rescue_2872	TRUE	16	0	0	0	1	130.375	-155.125	-0.017
rescue_2873	FALSE	65224	0.998	0.087	0.345	0.568	120.705	926.488	-0.5
rescue_2873	TRUE	276	0.344	0	0.319	0.681	105.971	188.725	-0.022
rescue_2874	FALSE	161	0.988	0	0.05	0.95	125.932	-42.118	-0.288
rescue_2874	TRUE	286	0.031	0	0.028	0.972	137.916	-25.08	-0.004
rescue_2875	FALSE	89	1	0	0	1	131.787	-81.562	-0.302
rescue_2875	TRUE	167	0.066	0	0.024	0.976	136.269	-17.371	-0.008
rescue_2876	FALSE	113	1	0	0.018	0.982	126.619	11.416	-0.333
rescue_2876	TRUE	80	0.212	0	0.25	0.75	120.388	-28.125	-0.006
rescue_2877	FALSE	13	0.846	0	0	1	106.077	10.846	-0.416
rescue_2877	TRUE	158	0	0	0	1	139.215	32.209	-0.006
rescue_2878	FALSE	37	0.946	0	0	1	133.784	-53.865	-0.369
rescue_2878	TRUE	69	0	0	0	1	127.565	-108.681	-0.002
rescue_2879	FALSE	1749	0.993	0	0.033	0.967	118.891	-58.487	-0.437
rescue_2879	TRUE	759	0.003	0	0	1	130.601	-31.126	-0.003
rescue_2880	FALSE	163	0.988	0	0.025	0.975	127.847	-42.117	-0.286
rescue_2880	TRUE	189	0.228	0	0.148	0.852	129.254	8.095	-0.01
rescue_2881	FALSE	173	0.965	0	0.023	0.977	129.173	-50.173	-0.267
rescue_2881	TRUE	202	0.178	0	0.139	0.861	128.332	-38.752	-0.009
rescue_2882	FALSE	201	0.98	0	0.01	0.99	139.826	-32.244	-0.347
rescue_2882	TRUE	51	0	0	0	1	124.843	-77.137	-0.002
rescue_2883	FALSE	190	0.579	0.463	0	0.537	64.374	-62.968	-0.504
rescue_2883	TRUE	50	0	0	0	1	128.44	-18.54	-0.004
rescue_2884	FALSE	180	0.989	0.033	0.511	0.456	81.506	-25.283	-0.432
rescue_2884	TRUE	45	0.267	0	0.267	0.733	113.311	8.156	-0.005
rescue_2885	FALSE	69	1	0	0.029	0.971	124.043	-99.333	-0.328
rescue_2885	TRUE	29	0	0	0	1	142.138	-51.448	-0.001
rescue_3810	FALSE	1984	0.979	0.358	0.38	0.262	51.795	-24.897	-0.342
rescue_3810	TRUE	167	0.012	0	0.012	0.988	128.641	66.299	-0.007
rescue_3811	FALSE	150	0.98	0	0.013	0.987	132.787	-39.393	-0.279
rescue_3811	TRUE	242	0.079	0	0.14	0.86	127.475	-56.921	-0.007
