name	pass	n.reads	frac.secondary	frac.mapq0	frac.mapq1	frac.mapqh	qwidth	isize	m.score
rescue_2872	TRUE	12	0	0	0	1	150	27.417	-0.007
rescue_2873	FALSE	23	1	0	0	1	128.13	865.087	-0.059
rescue_2873	TRUE	186	0.247	0	0.301	0.699	113.581	112.048	-0.019
rescue_2874	FALSE	3	1	0	0	1	150	-532.333	-0.051
rescue_2874	TRUE	339	0.018	0	0.029	0.971	137.33	-11.245	-0.003
rescue_2875	FALSE	9	1	0	0	1	133.111	-202.667	-0.089
rescue_2875	TRUE	95	0	0	0	1	134.905	-39.905	-0.005
rescue_2876	FALSE	14	1	0	0	1	100.857	-58	-0.062
rescue_2876	TRUE	98	0.102	0	0.245	0.755	137.102	-10.745	-0.007
rescue_2877	TRUE	89	0	0	0	1	133.708	6.506	-0.002
rescue_2878	TRUE	54	0.074	0	0.074	0.926	132	-70.037	-0.003
rescue_2879	FALSE	2	1	0	0	1	53	-53	-0.094
rescue_2879	TRUE	756	0.003	0	0.003	0.997	127.255	-36.987	-0.002
rescue_2880	FALSE	16	1	0	0	1	120.5	39.688	-0.061
rescue_2880	TRUE	177	0.102	0	0.203	0.797	126.379	0.508	-0.002
rescue_2881	FALSE	17	1	0	0	1	122.235	-132.353	-0.063
rescue_2881	TRUE	208	0.087	0	0.173	0.827	129.101	-45.889	-0.003
rescue_2882	TRUE	50	0	0	0	1	135.4	-69.86	-0.004
rescue_2883	TRUE	37	0	0	0	1	118.622	-56.703	-0.001
rescue_2884	TRUE	43	0.186	0	0.186	0.814	124.558	-11.023	-0.004
rescue_2885	FALSE	2	1	0	0	1	103	-103	-0.097
rescue_2885	TRUE	26	0	0	0.154	0.846	102.462	-75.5	-0.004
rescue_3810	TRUE	180	0.022	0	0.022	0.978	130.211	37.089	-0.009
rescue_3811	FALSE	20	1	0	0	1	116	-56	-0.079
rescue_3811	TRUE	168	0.107	0	0.167	0.833	134.268	-47.702	-0.006
