chr	start	end	tpm	pct	strand
chr12	115312195	115312196	5.03225576671338	0.0136661958959874	+
chr17	69383844	69383845	5.26183791689814	0.0376755005400017	+
chr1	51478776	51478777	5.45032514591144	0.0721109911107419	+
chr8	70139464	70139465	5.64160366652455	0.0959126028080086	+
chr11	109472983	109472984	5.64160366652455	0.0959126028080086	-
chr3	127837453	127837454	5.64160366652455	0.0959126028080086	-
chr12	85374473	85374474	5.86789545351332	0.10584032566254	+
chr11	118153035	118153041	7.74821269535439	0.182935947495223	-
chr8	84066195	84066204	8.34543158791334	0.195895987372269	-
chr7	80582949	80582972	8.84192011195895	0.205366785743956	-
chr4	26346851	26346862	10.0449205885469	0.222937609038797	-
chr2	32396265	32396266	12.0154927486886	0.251308465564509	+
chr14	30479577	30479596	12.8060424416508	0.263520810833264	+
chr1	128767141	128767142	13.3558246921596	0.270956218326826	+
chr5	145280485	145280546	14.0114433589105	0.280468555287862	+
chr6	130195728	130195731	15.2398290494474	0.297083991027665	-
chr2	27515181	27515190	15.3662232348012	0.298080917172053	+
chr15	79109152	79109179	15.5528936581025	0.300074769460829	+
chr10	117845983	117845984	15.744418829523	0.302650162000498	-
chr6	129621096	129621145	17.7785392142702	0.325330231785329	+
chr6	129738870	129738926	18.1468654094696	0.329650245077677	-
chr5	20945522	20945540	19.279208736423	0.342277976239927	-
chr19	21713932	21713936	21.1560129760082	0.360887264268505	+
chr15	101254247	101254323	21.5766936262406	0.364791891667359	+
chr8	84985016	84985017	23.7081355908051	0.383816565589433	+
chr1	152008574	152008575	25.2059932007923	0.397191991359973	+
chr11	105126467	105126497	25.6979878454318	0.401179695937526	+
chr10	24869985	24870004	26.0016636531939	0.403588934119797	+
chr7	101905919	101905970	26.8685371828925	0.410401262773116	+
chr7	31148993	31149058	27.3670389728656	0.41347511838498	+
chr10	96398786	96398819	31.4018006859198	0.442801362465731	+
chr2	145903259	145903286	31.8400158853377	0.445210600648002	+
chr7	75609654	75609685	34.479610934393	0.463155271246988	+
chr8	124520783	124520795	35.0783016546712	0.467059898645842	+
chr3	89213899	89213918	35.9098201548098	0.473041455512171	-
chr11	102320242	102320272	36.3191407295583	0.47561684805184	-
chr11	106789124	106789188	37.0917062787967	0.480601478773781	-
chr3	152346484	152346514	37.9032150983212	0.486167649746615	+
chr9	55149377	55149378	41.4562099959256	0.506936944421367	+
chr13	93144568	93144569	44.4639716927865	0.522804685552879	-
chr6	130378774	130378827	45.0666991324343	0.52604469552214	-
chr10	86705908	86705967	45.2162489006962	0.526709312951732	-
chr19	21652752	21652800	45.4415046975918	0.528121624989615	-
chr6	128838898	128838943	48.641960424063	0.544487829193321	-
chr6	86397104	86397145	50.5253567419221	0.5546232449946	-
chr15	58872650	58872678	51.7233533685757	0.559275567001745	+
chr2	37443275	37443296	53.0641155867467	0.565423278225471	+
chr1	138963734	138963775	53.1477243885087	0.565921741297665	+
chr10	67185575	67185595	53.2308568466266	0.566337127191161	-
chr6	128734031	128734098	58.2756474282337	0.589017196975991	-
chr3	32737059	32737076	63.0994296333232	0.608623411148957	+
chr1	34439850	34439905	63.6932238102452	0.610783417795132	+
chr6	129180790	129180872	64.1101745897707	0.611946498296918	+
chr11	3932021	3932051	65.3716454528421	0.617429592091053	-
