name	pass	n.reads	frac.secondary	frac.mapq0	frac.mapq1	frac.mapqh	qwidth	isize	m.score
rescue_2872	FALSE	179	1	0	0.011	0.989	132.777	-52.162	-0.421
rescue_2872	TRUE	12	0	0	0	1	150	0	-0.003
rescue_2873	FALSE	33631	0.999	0.078	0.31	0.612	123.869	940.023	-0.5
rescue_2873	TRUE	146	0.219	0	0.151	0.849	127.678	150.603	-0.017
rescue_2874	FALSE	81	0.926	0.012	0.025	0.963	142.21	-47.728	-0.228
rescue_2874	TRUE	315	0.013	0	0.006	0.994	138.657	-8.032	-0.004
rescue_2875	FALSE	80	0.925	0	0	1	133.45	-45.962	-0.284
rescue_2875	TRUE	171	0.035	0	0.023	0.977	135.491	-32.596	-0.009
rescue_2876	FALSE	63	1	0	0	1	133.587	3.19	-0.282
rescue_2876	TRUE	108	0.204	0	0.259	0.741	122.037	-37.38	-0.009
rescue_2877	FALSE	14	0.857	0	0	1	130.5	-23.714	-0.419
rescue_2877	TRUE	132	0	0	0	1	135.689	-23.758	-0.004
rescue_2878	FALSE	28	1	0	0.071	0.929	112.786	-88.286	-0.386
rescue_2878	TRUE	44	0	0	0	1	136	-49.795	-0.002
rescue_2879	FALSE	1855	0.991	0	0.032	0.968	121.569	-56.705	-0.441
rescue_2879	TRUE	685	0.006	0	0.006	0.994	126.942	-39.48	-0.003
rescue_2880	FALSE	26	0.885	0	0.077	0.923	134.154	-47.538	-0.416
rescue_2880	TRUE	68	0.029	0	0.088	0.912	135.221	10.132	-0.004
rescue_2881	FALSE	23	0.783	0	0.087	0.913	136.739	-123.043	-0.37
rescue_2881	TRUE	85	0.024	0	0.071	0.929	134.447	-20.459	-0.004
rescue_2882	FALSE	190	0.995	0	0.011	0.989	139.663	-22.195	-0.36
rescue_2882	TRUE	51	0	0	0	1	130.902	-53.118	-0.002
rescue_2883	FALSE	124	0.597	0.548	0	0.452	67.492	-64.758	-0.524
rescue_2883	TRUE	34	0	0	0	1	123.706	-53.118	-0.003
rescue_2884	FALSE	115	1	0	0.522	0.478	85.287	-45.278	-0.414
rescue_2884	TRUE	15	0	0	0.133	0.867	125.933	25.533	-0.001
rescue_2885	FALSE	58	1	0	0	1	123.448	-60.534	-0.371
rescue_2885	TRUE	11	0.182	0	0.182	0.818	119.455	-74.273	0
rescue_3810	FALSE	1206	0.993	0.244	0.526	0.231	49.459	-16.551	-0.361
rescue_3810	TRUE	16	0.625	0	0.625	0.375	89.75	-33.5	-0.058
rescue_3811	FALSE	53	1	0	0.038	0.962	135.377	-55.528	-0.266
rescue_3811	TRUE	11	0.636	0	0.545	0.455	106.727	-112.364	-0.018
