name	pass	n.reads	frac.secondary	frac.mapq0	frac.mapq1	frac.mapqh	qwidth	isize	m.score
rescue_2872	TRUE	6	0	0	0	1	140.333	-40.333	0
rescue_2873	FALSE	20	1	0	0	1	140.6	507.6	-0.053
rescue_2873	TRUE	159	0.453	0	0.591	0.409	86.686	315.881	-0.03
rescue_2874	FALSE	1	1	0	0	1	150	-507	0
rescue_2874	TRUE	295	0.034	0	0.054	0.946	135.512	-25.495	-0.004
rescue_2875	FALSE	4	1	0	0	1	120	-120	-0.086
rescue_2875	TRUE	133	0	0	0.015	0.985	134.068	-42.85	-0.002
rescue_2876	TRUE	65	0.062	0	0.369	0.631	125.631	-20.446	-0.004
rescue_2877	TRUE	134	0	0	0	1	129.037	-7.94	-0.003
rescue_2878	TRUE	42	0	0	0	1	137.143	-87.857	-0.001
rescue_2879	TRUE	663	0	0	0	1	124.57	-39.303	-0.003
rescue_2880	TRUE	86	0.07	0	0.093	0.907	135	5.267	-0.004
rescue_2881	TRUE	97	0.062	0	0.082	0.918	137	-31.536	-0.004
rescue_2882	TRUE	56	0	0	0	1	133.268	-30	-0.004
rescue_2883	TRUE	29	0	0	0	1	109.483	-26.103	-0.002
rescue_2884	TRUE	6	0	0	0	1	118.667	-18.667	-0.006
rescue_2885	FALSE	2	1	0	0	1	62	-62	-0.081
rescue_2885	TRUE	25	0	0	0	1	148.84	-51.12	-0.007
rescue_3810	TRUE	16	0.625	0	0.625	0.375	90.125	-33.875	-0.061
rescue_3811	FALSE	12	1	0	0	1	125.333	-75.333	-0.071
rescue_3811	TRUE	6	0.667	0	1	0	69.667	-69.667	-0.052
