name	pass	n.reads	frac.secondary	frac.mapq0	frac.mapq1	frac.mapqh	qwidth	isize	m.score
rescue_2872	FALSE	138	1	0	0.014	0.986	134.667	-37.167	-0.423
rescue_2872	TRUE	6	0	0	0	1	140.333	-40.333	0
rescue_2873	FALSE	72346	0.999	0.083	0.336	0.581	122.151	926.397	-0.5
rescue_2873	TRUE	179	0.514	0	0.525	0.475	92.709	337.302	-0.032
rescue_2874	FALSE	56	0.929	0	0.036	0.964	139.25	-15.911	-0.251
rescue_2874	TRUE	296	0.037	0	0.054	0.946	135.561	-27.122	-0.004
rescue_2875	FALSE	85	0.976	0	0	1	137.812	-21.529	-0.334
rescue_2875	TRUE	137	0.029	0	0.015	0.985	133.657	-45.102	-0.005
rescue_2876	FALSE	53	0.962	0	0	1	124.189	-30.245	-0.294
rescue_2876	TRUE	65	0.062	0	0.369	0.631	125.631	-20.446	-0.004
rescue_2877	FALSE	6	0.667	0	0	1	87.667	-37.667	-0.349
rescue_2877	TRUE	134	0	0	0	1	129.037	-7.94	-0.003
rescue_2878	FALSE	41	1	0	0	1	125.829	-65.195	-0.383
rescue_2878	TRUE	42	0	0	0	1	137.143	-87.857	-0.001
rescue_2879	FALSE	1940	0.992	0	0.028	0.972	119.443	-58.09	-0.436
rescue_2879	TRUE	663	0	0	0	1	124.57	-39.303	-0.003
rescue_2880	FALSE	24	0.958	0	0.167	0.833	113.875	-0.5	-0.354
rescue_2880	TRUE	86	0.07	0	0.093	0.907	135	5.267	-0.004
rescue_2881	FALSE	20	0.9	0	0.2	0.8	106.25	8.55	-0.288
rescue_2881	TRUE	97	0.062	0	0.082	0.918	137	-31.536	-0.004
rescue_2882	FALSE	160	0.95	0	0.012	0.988	139.669	-27.881	-0.337
rescue_2882	TRUE	56	0	0	0	1	133.268	-30	-0.004
rescue_2883	FALSE	170	0.494	0.424	0	0.576	71.653	-69.482	-0.523
rescue_2883	TRUE	29	0	0	0	1	109.483	-26.103	-0.002
rescue_2884	FALSE	162	0.988	0.037	0.457	0.506	82.216	-53.481	-0.435
rescue_2884	TRUE	6	0	0	0	1	118.667	-18.667	-0.006
rescue_2885	FALSE	53	1	0	0	1	126.755	-86.283	-0.333
rescue_2885	TRUE	27	0.074	0	0	1	142.407	-51.926	-0.012
rescue_3810	FALSE	2124	0.991	0.412	0.39	0.198	51.443	-23.36	-0.362
rescue_3810	TRUE	16	0.625	0	0.625	0.375	90.125	-33.875	-0.061
rescue_3811	FALSE	75	1	0	0.08	0.92	131.187	-38.947	-0.219
rescue_3811	TRUE	18	0.889	0	0.333	0.667	106.778	-73.444	-0.065
